Province,State,Month,Death,Cases,Total
Iowa,Iowa,Aug,85,21166,21251
Iowa,Iowa,Sep,295,51680,51975
Kansas,Kansas,Jan,1049,50639,51688
Kansas,Kansas,Feb,926,18115,19041
Kansas,Kansas,Mar,178,7765,7943
Kansas,Kansas,Apr,75,6585,6660
Kansas,Kansas,May,94,4637,4731
Kansas,Kansas,Jun,79,3715,3794
Kansas,Kansas,Jul,105,14620,14725
Kansas,Kansas,Aug,299,35767,36066
Kansas,Kansas,Sep,495,39418,39913
Kentucky,Kentucky,Jan,1122,96498,97620
Kentucky,Kentucky,Feb,892,40849,41741
Kentucky,Kentucky,Mar,1453,20801,22254
Kentucky,Kentucky,Apr,411,16840,17251
Kentucky,Kentucky,May,281,13867,14148
Kentucky,Kentucky,Jun,438,6454,6892
Kentucky,Kentucky,Jul,114,17318,17432
Kentucky,Kentucky,Aug,430,94022,94452
Kentucky,Kentucky,Sep,1006,113287,114293
Louisiana,Louisiana,Jan,1371,83980,85351
Louisiana,Louisiana,Feb,749,28725,29474
Louisiana,Louisiana,Mar,533,14300,14833
Louisiana,Louisiana,Apr,241,13407,13648
Louisiana,Louisiana,May,194,11910,12104
Louisiana,Louisiana,Jun,162,10620,10782
Louisiana,Louisiana,Jul,261,59951,60212
Louisiana,Louisiana,Aug,1360,136757,138117
Louisiana,Louisiana,Sep,1590,59147,60737
Maine,Maine,Jan,243,14880,15123
Maine,Maine,Feb,113,5198,5311
Maine,Maine,Mar,40,5829,5869
Maine,Maine,Apr,41,10668,10709
Maine,Maine,May,41,6533,6574
Maine,Maine,Jun,33,1214,1247
Maine,Maine,Jul,42,1387,1429
Maine,Maine,Aug,32,5361,5393
Maine,Maine,Sep,90,14043,14133
Maryland,Maryland,Jan,1232,76565,77797
Maryland,Maryland,Feb,742,26894,27636
Maryland,Maryland,Mar,417,28834,29251
Maryland,Maryland,Apr,458,35611,36069
Maryland,Maryland,May,870,11596,12466
Maryland,Maryland,Jun,127,2234,2361
Maryland,Maryland,Jul,84,6188,6272
Maryland,Maryland,Aug,189,28297,28486
Maryland,Maryland,Sep,428,34912,35340
Massachusetts,Massachusetts,Jan,2154,146693,148847
Massachusetts,Massachusetts,Feb,1541,55582,57123
Massachusetts,Massachusetts,Mar,1067,53365,54432
Massachusetts,Massachusetts,Apr,425,52968,53393
Massachusetts,Massachusetts,May,262,17710,17972
Massachusetts,Massachusetts,Jun,120,2901,3021
Massachusetts,Massachusetts,Jul,90,9724,9814
Massachusetts,Massachusetts,Aug,164,39925,40089
Massachusetts,Massachusetts,Sep,381,51701,52082
Michigan,Michigan,Jan,2489,76286,78775
Michigan,Michigan,Feb,977,33320,34297
Michigan,Michigan,Mar,610,99075,99685
Michigan,Michigan,Apr,1629,187896,189525
Michigan,Michigan,May,1627,53483,55110
Michigan,Michigan,Jun,620,7589,8209
Michigan,Michigan,Jul,187,10877,11064
Michigan,Michigan,Aug,359,48828,49187
Michigan,Michigan,Sep,808,88838,89646
Minnesota,Minnesota,Jan,886,45619,46505
Minnesota,Minnesota,Feb,283,22504,22787
Minnesota,Minnesota,Mar,375,34560,34935
Minnesota,Minnesota,Apr,311,55972,56283
Minnesota,Minnesota,May,282,25290,25572
Minnesota,Minnesota,Jun,168,3813,3981
Minnesota,Minnesota,Jul,74,7262,7336
Minnesota,Minnesota,Aug,143,37120,37263
Minnesota,Minnesota,Sep,352,60778,61130
Mississippi,Mississippi,Jan,1258,57932,59190
Mississippi,Mississippi,Feb,636,19158,19794
Mississippi,Mississippi,Mar,351,10000,10351
Mississippi,Mississippi,Apr,167,6587,6754
Mississippi,Mississippi,May,117,5696,5813
Mississippi,Mississippi,Jun,96,3955,4051
Mississippi,Mississippi,Jul,131,21610,21741
Mississippi,Mississippi,Aug,866,92351,93217
Mississippi,Mississippi,Sep,1191,50481,51672
Missouri,Missouri,Jan,1347,90644,91991
Missouri,Missouri,Feb,1210,28963,30173
Missouri,Missouri,Mar,572,18188,18760
Missouri,Missouri,Apr,285,9672,9957
Missouri,Missouri,May,360,14492,14852
Missouri,Missouri,Jun,228,19079,19307
Missouri,Missouri,Jul,373,60378,60751
Missouri,Missouri,Aug,949,76303,77252
Missouri,Missouri,Sep,928,60881,61809
Montana,Montana,Jan,272,12122,12394
Montana,Montana,Feb,124,5881,6005
Montana,Montana,Mar,80,4518,4598
Montana,Montana,Apr,134,4131,4265
Montana,Montana,May,42,2970,3012
Montana,Montana,Jun,52,1874,1926
Montana,Montana,Jul,39,2572,2611
Montana,Montana,Aug,96,10765,10861
Montana,Montana,Sep,209,23597,23806
Nebraska,Nebraska,Jan,269,23646,23915
Nebraska,Nebraska,Feb,162,10007,10169
Nebraska,Nebraska,Mar,98,8366,8464
Nebraska,Nebraska,Apr,64,10416,10480
Nebraska,Nebraska,May,5,3537,3542
Nebraska,Nebraska,Jun,12,1108,1120
Nebraska,Nebraska,Jul,19,3943,3962
Nebraska,Nebraska,Aug,42,15762,15804
Nebraska,Nebraska,Sep,105,22090,22195
Nevada,Nevada,Jan,1148,52429,53577
Nevada,Nevada,Feb,687,14759,15446
Nevada,Nevada,Mar,292,9716,10008
Nevada,Nevada,Apr,215,11461,11676
Nevada,Nevada,May,122,8188,8310
Nevada,Nevada,Jun,95,9869,9964
Nevada,Nevada,Jul,231,22458,22689
Nevada,Nevada,Aug,598,33601,34199
Nevada,Nevada,Sep,640,30079,30719
New Hampshire,New Hampshire,Jan,298,20769,21067
New Hampshire,New Hampshire,Feb,113,9362,9475
New Hampshire,New Hampshire,Mar,68,8684,8752
New Hampshire,New Hampshire,Apr,65,10645,10710
New Hampshire,New Hampshire,May,50,3790,3840
New Hampshire,New Hampshire,Jun,19,759,778
New Hampshire,New Hampshire,Jul,15,1138,1153
New Hampshire,New Hampshire,Aug,30,7002,7032
New Hampshire,New Hampshire,Sep,64,12515,12579
New Jersey,New Jersey,Jan,2442,165360,167802
New Jersey,New Jersey,Feb,1768,90759,92527
New Jersey,New Jersey,Mar,1309,118151,119460
New Jersey,New Jersey,Apr,993,87414,88407
New Jersey,New Jersey,May,658,18451,19109
New Jersey,New Jersey,Jun,245,6818,7063
New Jersey,New Jersey,Jul,145,15813,15958
New Jersey,New Jersey,Aug,280,52333,52613
New Jersey,New Jersey,Sep,545,62059,62604
New Mexico,New Mexico,Jan,806,30394,31200
New Mexico,New Mexico,Feb,433,10635,11068
New Mexico,New Mexico,Mar,221,6299,6520
New Mexico,New Mexico,Apr,130,5951,6081
New Mexico,New Mexico,May,196,4892,5088
New Mexico,New Mexico,Jun,77,2644,2721
New Mexico,New Mexico,Jul,70,4804,4874
New Mexico,New Mexico,Aug,108,22090,22198
New Mexico,New Mexico,Sep,283,20127,20410
New York,New York,Jan,5651,435482,441133
New York,New York,Feb,3967,219939,223906
New York,New York,Mar,2680,226598,229278
New York,New York,Apr,1958,173076,175034
New York,New York,May,1043,53227,54270
New York,New York,Jun,372,12212,12584
New York,New York,Jul,171,35445,35616
New York,New York,Aug,613,127607,128220
New York,New York,Sep,1104,147015,148119
North Carolina,North Carolina,Jan,2587,215394,217981
North Carolina,North Carolina,Feb,1877,99145,101022
North Carolina,North Carolina,Mar,900,54684,55584
North Carolina,North Carolina,Apr,539,55081,55620
North Carolina,North Carolina,May,427,30975,31402
North Carolina,North Carolina,Jun,359,12176,12535
North Carolina,North Carolina,Jul,198,34189,34387
North Carolina,North Carolina,Aug,833,164745,165578
North Carolina,North Carolina,Sep,2056,179544,181600
North Dakota,North Dakota,Jan,148,5004,5152
North Dakota,North Dakota,Feb,28,2157,2185
North Dakota,North Dakota,Mar,23,3261,3284
North Dakota,North Dakota,Apr,25,4356,4381
North Dakota,North Dakota,May,20,2451,2471
North Dakota,North Dakota,Jun,16,747,763
North Dakota,North Dakota,Jul,11,926,937
North Dakota,North Dakota,Aug,22,5832,5854
North Dakota,North Dakota,Sep,53,14610,14663
Northern Mariana Islands,Northern Mariana Islands,Jan,0,10,10
Northern Mariana Islands,Northern Mariana Islands,Feb,0,11,11
Northern Mariana Islands,Northern Mariana Islands,Mar,0,16,16
Northern Mariana Islands,Northern Mariana Islands,Apr,0,9,9
Northern Mariana Islands,Northern Mariana Islands,May,0,15,15
Northern Mariana Islands,Northern Mariana Islands,Jun,0,0,0
Northern Mariana Islands,Northern Mariana Islands,Jul,0,0,0
Northern Mariana Islands,Northern Mariana Islands,Aug,0,0,0
Northern Mariana Islands,Northern Mariana Islands,Sep,0,86,86
Ohio,Ohio,Jan,3702,191735,195437
Ohio,Ohio,Feb,1363,70278,71641
Ohio,Ohio,Mar,598,49551,50149
Ohio,Ohio,Apr,549,54217,54766
Ohio,Ohio,May,459,29247,29706
Ohio,Ohio,Jun,235,9212,9447
Ohio,Ohio,Jul,160,17771,17931
Ohio,Ohio,Aug,669,91250,91919
Ohio,Ohio,Sep,589,191993,192582
Oklahoma,Oklahoma,Jan,1058,97930,98988
Oklahoma,Oklahoma,Feb,881,34479,35360
Oklahoma,Oklahoma,Mar,525,13658,14183
Oklahoma,Oklahoma,Apr,1835,6730,8565
Oklahoma,Oklahoma,May,503,3969,4472
Oklahoma,Oklahoma,Jun,97,4977,5074
Oklahoma,Oklahoma,Jul,97,22687,22784
Oklahoma,Oklahoma,Aug,327,70996,71323
Oklahoma,Oklahoma,Sep,1137,60670,61807
Oregon,Oregon,Jan,480,28027,28507
Oregon,Oregon,Feb,251,12930,13181
Oregon,Oregon,Mar,175,9240,9415
Oregon,Oregon,Apr,112,19688,19800
Oregon,Oregon,May,176,16487,16663
Oregon,Oregon,Jun,103,7062,7165
Oregon,Oregon,Jul,84,11031,11115
Oregon,Oregon,Aug,340,56192,56532
Oregon,Oregon,Sep,593,53174,53767
Pennsylvania,Pennsylvania,Jan,5626,196438,202064
Pennsylvania,Pennsylvania,Feb,2339,85198,87537
Pennsylvania,Pennsylvania,Mar,1094,93532,94626
Pennsylvania,Pennsylvania,Apr,1120,124708,125828
Pennsylvania,Pennsylvania,May,1005,49433,50438
Pennsylvania,Pennsylvania,Jun,464,9351,9815
Pennsylvania,Pennsylvania,Jul,172,12251,12423
Pennsylvania,Pennsylvania,Aug,385,70981,71366
Pennsylvania,Pennsylvania,Sep,1165,128407,129572
Puerto Rico,Puerto Rico,Jan,326,17007,17333
Puerto Rico,Puerto Rico,Feb,207,6466,6673
Puerto Rico,Puerto Rico,Mar,82,7091,7173
Puerto Rico,Puerto Rico,Apr,192,24294,24486
Puerto Rico,Puerto Rico,May,195,6606,6801
Puerto Rico,Puerto Rico,Jun,44,1257,1301
Puerto Rico,Puerto Rico,Jul,31,6712,6743
Puerto Rico,Puerto Rico,Aug,295,23730,24025
Puerto Rico,Puerto Rico,Sep,274,10148,10422
Rhode Island,Rhode Island,Jan,411,26078,26489
Rhode Island,Rhode Island,Feb,161,11023,11184
Rhode Island,Rhode Island,Mar,117,11590,11707
Rhode Island,Rhode Island,Apr,52,10805,10857
Rhode Island,Rhode Island,May,37,3520,3557
Rhode Island,Rhode Island,Jun,22,848,870
Rhode Island,Rhode Island,Jul,10,1716,1726
Rhode Island,Rhode Island,Aug,30,8248,8278
Rhode Island,Rhode Island,Sep,68,9676,9744
South Carolina,South Carolina,Jan,1746,134133,135879
South Carolina,South Carolina,Feb,1504,71933,73437
South Carolina,South Carolina,Mar,600,34207,34807
South Carolina,South Carolina,Apr,351,26678,27029
South Carolina,South Carolina,May,239,14364,14603
South Carolina,South Carolina,Jun,83,3495,3578
South Carolina,South Carolina,Jul,85,20223,20308
South Carolina,South Carolina,Aug,694,117445,118139
South Carolina,South Carolina,Sep,1874,120225,122099
South Dakota,South Dakota,Jan,290,8796,9086
South Dakota,South Dakota,Feb,110,4067,4177
South Dakota,South Dakota,Mar,47,5285,5332
South Dakota,South Dakota,Apr,32,4869,4901
South Dakota,South Dakota,May,47,1484,1531
South Dakota,South Dakota,Jun,21,334,355
South Dakota,South Dakota,Jul,10,669,679
South Dakota,South Dakota,Aug,26,7008,7034
South Dakota,South Dakota,Sep,72,12687,12759
Tennessee,Tennessee,Jan,2743,138316,141059
Tennessee,Tennessee,Feb,1761,45382,47143
Tennessee,Tennessee,Mar,493,36345,36838
Tennessee,Tennessee,Apr,293,35295,35588
Tennessee,Tennessee,May,244,14727,14971
Tennessee,Tennessee,Jun,121,4442,4563
Tennessee,Tennessee,Jul,162,26428,26590
Tennessee,Tennessee,Aug,754,157501,158255
Tennessee,Tennessee,Sep,1664,175047,176711
Texas,Texas,Jan,9008,594552,603560
Texas,Texas,Feb,6623,270046,276669
Texas,Texas,Mar,4555,134342,138897
Texas,Texas,Apr,1967,100051,102018
Texas,Texas,May,1289,58192,59481
Texas,Texas,Jun,829,45831,46660
Texas,Texas,Jul,940,137828,138768
Texas,Texas,Aug,3767,469642,473409
Texas,Texas,Sep,8159,447859,456018
Utah,Utah,Jan,396,69616,70012
Utah,Utah,Feb,270,24341,24611
Utah,Utah,Mar,187,14219,14406
Utah,Utah,Apr,80,11602,11682
Utah,Utah,May,100,8747,8847
Utah,Utah,Jun,-39,8900,8861
Utah,Utah,Jul,74,17248,17322
Utah,Utah,Aug,172,31772,31944
Utah,Utah,Sep,270,43774,44044
Vermont,Vermont,Jan,38,4515,4553
Vermont,Vermont,Feb,30,3203,3233
Vermont,Vermont,Mar,23,4054,4077
Vermont,Vermont,Apr,19,3658,3677
Vermont,Vermont,May,9,1259,1268
Vermont,Vermont,Jun,1,189,190
Vermont,Vermont,Jul,4,475,479
Vermont,Vermont,Aug,16,3295,3311
Vermont,Vermont,Sep,41,5421,5462
Virgin Islands,Virgin Islands,Jan,1,366,367
Virgin Islands,Virgin Islands,Feb,1,247,248
Virgin Islands,Virgin Islands,Mar,1,260,261
Virgin Islands,Virgin Islands,Apr,1,217,218
Virgin Islands,Virgin Islands,May,0,317,317
Virgin Islands,Virgin Islands,Jun,3,413,416
Virgin Islands,Virgin Islands,Jul,7,764,771
Virgin Islands,Virgin Islands,Aug,18,1277,1295
Virgin Islands,Virgin Islands,Sep,16,818,834
Virginia,Virginia,Jan,1432,153763,155195
Virginia,Virginia,Feb,2088,69183,71271
Virginia,Virginia,Mar,1700,41226,42926
Virginia,Virginia,Apr,518,40096,40614
Virginia,Virginia,May,416,15532,15948
Virginia,Virginia,Jun,229,4573,4802
Virginia,Virginia,Jul,117,13927,14044
Virginia,Virginia,Aug,310,71741,72051
Virginia,Virginia,Sep,908,99433,100341
Washington,Washington,Jan,824,64021,64845
Washington,Washington,Feb,671,27505,28176
Washington,Washington,Mar,291,24422,24713
Washington,Washington,Apr,252,38302,38554
Washington,Washington,May,266,32543,32809
Washington,Washington,Jun,165,15581,15746
Washington,Washington,Jul,192,21289,21481
Washington,Washington,Aug,452,89513,89965
Washington,Washington,Sep,1152,93433,94585
West Virginia,West Virginia,Jan,686,34981,35667
West Virginia,West Virginia,Feb,276,10578,10854
